Fighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedHeightCms,RedReachCms,RedWeightLbs,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,FinishRound,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,RedDate
Aalon Cruz,0.6643478260869565,0.5934782608695652,0.06214922372705272,0.14351147653400073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3529411764705883,0.5736434108527133,0.19999999999999996,0.0,0.0,0.0,0.08819512195121951,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5217391304347827,0.7681755829903976,0.19999999999999996,0.4444444444444444,0.568,0.5207100591715976,0.5,0.5510204081632654,0.5272206303724928,0.6153846153846154,0.5294117647058824,0.599236641221374,0.7142857142857144,0.6363636363636364,0.6,0.46153086419753087,0.6176470588235293,0.4793863854266539,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.05097250167672703,0.14220183486238533,0.19760479041916168,0.36644591611479027,0.12234146341463414,0.1717948717948718,0.46043165467625896,2020-02-29
Aaron Phillips,0.7834782608695652,0.4467391304347826,0.19180835120984016,0.04602187645734728,0.0,0.125,0.0,0.0,0.052307692307692305,0.4223602484472049,0.0,0.0,0.0,0.0,0.05555555555555555,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44117647058823595,0.5155038759689923,0.1333333333333333,0.4,0.0,0.0,0.09517073170731707,0.49,0.09523809523809523,0.0344,0.25,0.0,0.14285714285714285,0.07482993197278912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3913043478260869,0.48010973936899815,0.1333333333333333,0.2777777777777778,0.568,0.5207100591715976,0.5,0.4591836734693878,0.48424068767908307,0.6153846153846154,0.5294117647058824,0.599236641221374,0.8131868131868133,0.7727272727272727,0.38333333333333336,0.48486419753086424,0.5588235294117646,0.4587727708533078,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5975855130784707,0.28899082568807344,0.1497550353837779,0.3672185430463576,0.17853658536585365,0.20192307692307693,0.2512589928057554,2023-04-15
Aaron Riley,0.7339130434782609,0.5065217391304347,0.16908810405509672,0.08931302017364824,0.0,0.25,0.0,0.0,0.1466346153846154,0.4254658385093168,0.0,0.09208103130755065,0.065,0.041666666666666664,0.1111111111111111,0.041666666666666664,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.029411764705882353,0.4117647058823528,0.5348837209302331,0.2666666666666667,0.2,0.0,0.0,0.36341463414634145,0.3755,0.017363095238095233,0.073332,0.3005,0.07317073170731708,0.3214285714285714,0.20408163265306123,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.0,0.13092269326683292,0.3478260869565215,0.42249657064471835,0.2666666666666667,0.4444444444444444,0.568,0.49408284023668636,0.43333333333333335,0.7653061224489797,0.4197707736389684,0.6153846153846154,0.5294117647058824,0.599236641221374,0.8241758241758242,0.8181818181818181,0.5333333333333333,0.3975308641975309,0.6069227941176469,0.48338207094918506,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5975855130784707,0.25,0.12770821992378878,0.32317880794701986,0.10829268292682928,0.38461538461538464,0.20323741007194246,2013-07-27
Aaron Rosa,0.688695652173913,0.5695652173913044,0.10200923584538338,0.09312979868305958,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7058823529411762,0.6447537081120678,0.6,0.2,0.0,0.0,0.7121951219512195,0.4,0.0,0.0,0.0,0.0,0.07142857142857142,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6956521739130435,0.7681755829903976,0.6,0.5555555555555556,0.568,0.5207100591715976,0.5,0.6122448979591837,0.501432664756447,0.6153846153846154,0.5294117647058824,0.599236641221374,0.7582417582417583,0.6780601288475304,0.13333333333333336,0.14567901234567904,0.6176470588235293,0.4793863854266539,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5975855130784707,,,,,,,2011-11-12
Aaron Simpson,0.7060869565217391,0.5430434782608695,0.10684838882937625,0.15274398312232115,0.0,0.2,0.06666666666666667,0.0,0.2567886538461539,0.6375155279503105,0.07765384615384616,0.1964401473296501,0.37620000000000003,0.15,0.2222222222222222,0.17666666666666667,0.0,0.0,0.16000000000000003,0.11428571428571428,0.1,0.0857142857142857,0.0,0.15294117647058825,0.623529411764705,0.6589147286821708,0.42666666666666664,0.08000000000000002,0.11868131868131869,0.0,0.37625775609756096,0.5274,0.040164285714285715,0.23318720000000004,0.4694,0.21951219512195125,0.15714285714285714,0.25578231292517006,0.0,0.0,0.2916666666666667,0.26666666666666666,0.20792079207920794,0.0,0.0,0.2827930174563591,0.5217391304347827,0.576131687242798,0.3666666666666666,0.39999999999999997,0.5104,0.45680473372781066,0.4066666666666667,0.5632653061224491,0.4567335243553008,0.6153846153846154,0.45882352941176474,0.6335877862595419,0.8153846153846155,0.7999999999999999,0.7066666666666667,0.447602962962963,0.6225308823529411,0.4419223394055609,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44999999999999996,0.520992622401073,0.16422018348623854,0.23124659771366357,,,,,2012-10-05
Abdul Razak Alhassan,0.6420869565217391,0.5930434782608696,0.05386612269634545,0.17940321894952005,0.0,0.05,0.13333333333333333,0.0,0.13118865384615383,0.4462111801242235,0.11996153846153845,0.19086187845303865,0.18780000000000002,0.08333333333333333,0.13333333333333333,0.09000000000000001,0.0,0.0,0.0,0.05714285714285714,0.125,0.05714285714285714,0.0,0.10588235294117647,0.623529411764705,0.7054263565891477,0.4066666666666666,0.12,0.11868131868131869,0.0,0.09480975609756098,0.48,0.0,0.033280000000000004,0.19460000000000002,0.175609756097561,0.09999999999999999,0.09523809523809523,0.0,0.0,0.0,0.0,0.33267326732673275,0.0,0.0,0.16758104738154614,0.43478260869565233,0.576131687242798,0.3666666666666666,0.39999999999999997,0.5391999999999999,0.4461538461538462,0.45333333333333337,0.4408163265306123,0.5134670487106017,0.6153846153846154,0.4,0.6221374045801527,0.8593406593406594,0.8272727272727273,0.37333333333333335,0.5255586172839506,0.6635147058823528,0.5588092042186003,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33333333333333337,0.4059915045830539,0.3688073394495413,0.25639629831246596,0.6415011037527594,0.24878048780487805,0.044358974358974367,0.252158273381295,2021-04-17
Abdul-Kareem Al-Selwady,0.6834782608695652,0.571304347826087,0.0899880179908005,0.09679392070858257,0.0,0.25,0.0,0.0,0.02778846153846154,0.5465838509316769,0.0,0.4281767955801105,0.57,0.08333333333333333,0.1111111111111111,0.08333333333333333,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.058823529411764705,0.5882352941176472,0.49612403100775193,0.2666666666666667,0.0,0.09890109890109891,0.0,0.04039024390243902,0.34,0.0,0.1856,0.3,0.07317073170731708,0.0,0.04081632653061224,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.05236907730673317,0.3478260869565215,0.42249657064471835,0.2666666666666667,0.5555555555555556,0.49599999999999994,0.5207100591715976,0.5,0.6122448979591837,0.5444126074498566,0.6153846153846154,0.5294117647058824,0.599236641221374,0.8901098901098902,0.7954545454545454,0.6333333333333333,0.5,0.6176470588235293,0.5910834132310643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.42924211938296447,0.15825688073394495,0.17147523135547088,0.44370860927152317,0.25853658536585367,0.15384615384615385,0.2266187050359712,2024-03-02
Abel Trujillo,0.7356521739130435,0.5032608695652174,0.12729907803833646,0.10000433282429518,0.0,0.25,0.0,0.0,0.28792724358974364,0.5556935817805383,0.14957051282051279,0.0767341927562922,0.3,0.125,0.1111111111111111,0.08333333333333333,0.0,0.0,0.0,0.10714285714285714,0.03125,0.07142857142857142,0.0,0.08823529411764705,0.6029411764705883,0.5930232558139541,0.2500000000000001,0.1,0.14835164835164838,0.0,0.287040243902439,0.40625,0.049425595238095234,0.10246000000000001,0.6785,0.14634146341463417,0.19642857142857142,0.18367346938775508,0.0,0.0,0.0,0.027777777777777776,0.2599009900990099,0.0423728813559322,0.0,0.20947630922693267,0.3478260869565215,0.4609053497942388,0.2666666666666667,0.38888888888888884,0.45999999999999996,0.49408284023668636,0.4166666666666667,0.6581632653061225,0.45415472779369626,0.6153846153846154,0.3970588235294118,0.599236641221374,0.8956043956043956,0.8295454545454545,0.5416666666666666,0.4717861728395062,0.6300110294117646,0.44795062320230106,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3125,0.35311871227364183,0.2839449541284404,0.18470332063146436,0.3678366445916115,0.12995121951219513,0.11025641025641025,0.31969424460431656,2017-02-04
Abu Azaitar,0.7982608695652174,0.41826086956521735,0.2469860942999314,0.03085511356167593,0.0,0.0,0.16666666666666666,0.0,0.020673076923076922,0.5962732919254657,0.05769230769230768,0.12062615101289136,0.35,0.08333333333333333,0.1111111111111111,0.1,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.11764705882352941,0.7647058823529416,0.8837209302325584,0.4666666666666667,0.2,0.0,0.0,0.04273170731707317,0.43,0.0,0.08,0.37,0.07317073170731708,0.07142857142857142,0.08163265306122448,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.05236907730673317,0.3913043478260869,0.6913580246913575,0.4666666666666667,0.3333333333333333,0.6399999999999999,0.5207100591715976,0.5333333333333333,0.5510204081632654,0.5272206303724928,0.6153846153846154,0.5294117647058824,0.6564885496183206,0.9340659340659341,0.8636363636363635,0.16666666666666669,0.49516049382716054,0.6397058823529411,0.4942473633748802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5975855130784707,0.38073394495412843,0.16167664670658682,0.7527593818984548,0.09268292682926829,0.1794871794871795,0.16366906474820142,2023-10-21
Abubakar Nurmagomedov,0.6695652173913044,0.5865217391304348,0.07712420354173599,0.12885498843190876,0.0,0.25,0.05555555555555555,0.0,0.029326923076923077,0.505175983436853,0.2756410256410256,0.09208103130755065,0.24,0.2222222222222222,0.2222222222222222,0.22777777777777777,0.0,0.0,0.13333333333333333,0.19047619047619047,0.125,0.09523809523809523,0.0,0.19607843137254902,0.6470588235294117,0.6511627906976742,0.3666666666666666,0.0,0.09890109890109891,0.0,0.027121951219512195,0.5,0.0,0.20773333333333333,0.48,0.07317073170731708,0.047619047619047616,0.04988662131519274,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.05236907730673317,0.4782608695652173,0.5377229080932779,0.3666666666666666,0.4074074074074074,0.5199999999999999,0.6094674556213018,0.5777777777777777,0.5510204081632654,0.6131805157593122,0.6153846153846154,0.5882352941176471,0.6374045801526717,0.8461538461538463,0.8181818181818181,0.4777777777777778,0.5070617283950618,0.7230392156862744,0.4028443592201982,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33333333333333337,0.4343840822714062,0.10397553516819572,0.19161676646706588,0.30721118469462844,0.17495934959349593,0.27179487179487183,0.3195443645083933,2023-06-03
