Fighter,FPI
Aalon Cruz,0.558392226170179
Aaron Phillips,0.7625989110927037
Aaron Riley,2.6502721606900677
Aaron Simpson,4.594041295357075
Abdul Razak Alhassan,3.4124512189000384
Abdul-Kareem Al-Selwady,2.1269029659404564
Abel Trujillo,3.758627349592721
Abu Azaitar,1.9514535750002615
Abubakar Nurmagomedov,2.694214558425911
Abus Magomedov,2.884931489046021
Adam Milstead,2.324364901708558
Adam Wieczorek,3.298151857016617
Adrian Yanez,2.6605068160943994
Adriano Martins,3.059961115820936
Aiemann Zahabi,2.869696080882477
Ailin Perez,2.583781067906891
Aisling Daly,1.684387294099669
Aj Dobson,2.314676602160551
Aj Fletcher,1.8320011621668832
Akira Corassani,3.842797988988464
Al Iaquinta,5.2877666402215056
Alan Baudot,2.5750425154439416
Alan Belcher,4.250094509921154
Alan Jouban,3.7566478418947082
Alan Patrick,3.0561605523018507
Alatengheili,1.9564266466197502
Albert Duraev,2.7079480686560613
Albert Tumenov,3.6971525760778383
Alberto Mina,3.582140461554397
Alejandro Perez,3.2990374463489642
Aleksa Camur,1.5740517641570375
Aleksei Oleinik,4.010498376085516
Alen Amedovski,0.31725195091310526
Alessandro Costa,1.390710996584298
Alessio Di Chirico,2.631478321883488
Alessio Sakara,3.007372786931953
Alex Caceres,3.6478074163722196
Alex Chambers,2.1635028415653874
Alex Garcia,5.177939673514715
Alex Morono,3.479355234967809
Alex Oliveira,4.357786519039372
Alex Pereira,3.9992918208884776
Alex Perez,4.579768181651992
Alex Reyes,1.2757234875591594
Alex Soto,1.2649282014992747
Alex White,2.5344035157621385
Alexa Grasso,4.264157372045224
Alexander Gustafsson,5.338817483552779
Alexander Hernandez,3.9135057035926692
Alexander Munoz,1.2686492244432015
Alexander Volkanovski,6.014182399127924
Alexander Volkov,4.524385200574895
Alexandr Romanov,3.3832189610146
Alexandra Albu,3.751736091441054
Alexandre Pantoja,3.8833604449970194
Alexis Davis,3.716917887581873
Ali Alqaisi,1.19753976244449
Ali Bagautinov,3.4909697992669435
Aliaskhab Khizriev,3.1995673179098776
Alistair Overeem,5.039898567616419
Aljamain Sterling,5.903960082475546
Allan Nascimento,1.9597082357124402
Allen Crowder,2.1167595057324213
Alonzo Menifield,3.3542002695786266
Alvaro Herrera,2.2607014468109274
Amanda Cooper,2.2804848313665023
Amanda Lemos,3.6445413982183243
Amanda Nunes,4.933800151773561
Amanda Ribas,3.7763313685989077
Amir Albazi,2.3561614278702576
Amir Sadollah,4.1478146378987395
Anderson Silva,7.51955677910749
Andre Ewell,1.6457813633107126
Andre Fialho,2.633985364535759
Andre Fili,3.3713795495045664
Andre Muniz,4.604120270829428
Andre Petroski,3.9983617017398627
Andre Winner,4.324610637300856
Andrea Lee,3.26639477642681
Andreas Michailidis,0.6342699400894181
Andrei Arlovski,5.404681423740477
Andrew Sanchez,3.3486125173302264
Andy Ogle,3.0046654871209713
Ange Loosa,1.3524996758077021
Angel Pacheco,1.204545508292348
Angela Hill,3.3221176505078387
Anna Elmose,0.6752754177920799
Anthony Birchak,2.3853608212411808
Anthony Hamilton,2.60908993257358
Anthony Hernandez,4.4541565078769585
Anthony Ivy,0.23062274540000002
Anthony Johnson,5.363850733470841
Anthony Lapsley,1.2461551425734103
Anthony Njokuani,3.9223417382752137
Anthony Perosh,3.3373990524286845
Anthony Pettis,5.39850362517075
Anthony Rocco Martin,4.150197516447265
Anthony Smith,4.7213710268207905
Antonina Shevchenko,2.439420214469122
Antonio Braga Neto,3.370689190503158
Antonio Carlos Junior,3.7949960620041407
Antonio Carvalho,3.375119576648582
Antonio Silva,4.492172195130988
Aori Qileng,1.3450197381720612
Aoriqileng,1.6190984104404702
Ariane Carnelossi,1.8650580429624213
Ariane Da Silva,3.0991315093876244
Ariane Lipski,1.486462248301914
Arjan Bhullar,3.181659540193669
Arman Tsarukyan,3.967331211726234
Armen Petrosyan,2.286721946842172
Arnold Allen,4.483844656658587
Artem Lobov,2.7921237962395122
Ashlee Evans-Smith,3.03512660216356
Ashley Yoder,1.9584111599327263
Askar Askarov,3.352395434920993
Aspen Ladd,3.5737450598883216
Asu Almabayev,2.77352337637532
Augusto Montano,2.9484387347744154
Augusto Sakai,3.3503804887294764
Austen Lane,2.026074553102214
Austin Hubbard,1.8056118188092285
Austin Lingo,1.330204166942539
Azamat Murzakanov,4.291248646376253
Azat Maksum,1.9913192665211588
Baergeng Jieleyisi,2.604525310754489
Bart Palaszewski,2.9275566143862246
Bartosz Fabinski,3.510593825367799
Bassil Hafez,2.381833350261023
Batgerel Danaa,2.0041971495974296
