Fighter,FPI
Aaron Phillips,1.0668030693789132
Abdul-Kareem Al-Selwady,2.6457600768747476
Abu Azaitar,2.3201207922475104
Abubakar Nurmagomedov,3.22291288134197
Abus Magomedov,3.395842997758095
Adrian Yanez,3.1769356032062777
Aiemann Zahabi,3.8925019236805025
Ailin Perez,3.1889487166393766
Aj Dobson,2.787924201597142
Aj Fletcher,2.204340166675074
Alatengheili,2.3995478181950034
Albert Duraev,3.236143646926644
Alessandro Costa,1.712693473428232
Alessio Di Chirico,3.4168544203782787
Alex Caceres,4.837695151302076
Alex Morono,4.274229766903217
Alex Pereira,4.671644053211227
Alex Perez,5.7680196382578215
Alex Reyes,1.6442799649498292
Alexa Grasso,5.809465725161104
Alexander Hernandez,4.756498972409417
Alexander Munoz,1.631097969039696
Alexander Volkanovski,7.59588060468878
Alexander Volkov,5.5895905164487365
Alexandr Romanov,4.035975332076547
Alexandre Pantoja,4.81099431619418
Aljamain Sterling,7.6773189793253565
Allan Nascimento,2.407384667646663
Alonzo Menifield,3.9208734809911316
Amanda Lemos,4.3262224583235955
Amanda Nunes,6.195885087994744
Amanda Ribas,4.4839932480813465
Amir Albazi,2.7824221092478867
Andre Fialho,3.070462878169049
Andre Fili,4.2003225647657985
Andre Muniz,5.444033410387723
Andre Petroski,4.7457945418715415
Andrea Lee,3.8820935556631504
Andrei Arlovski,6.597575262747405
Ange Loosa,1.7626631148213792
Angel Pacheco,1.6692859364057113
Angela Hill,4.599932859888109
Anthony Hernandez,5.291790600381495
Anthony Smith,5.549990677831144
Antonina Shevchenko,2.8850826570418393
Aoriqileng,2.002836492104036
Ariane Carnelossi,2.30906153930153
Ariane Da Silva,3.6773462810528468
Arman Tsarukyan,4.767448745628246
Armen Petrosyan,2.7122004656305303
Arnold Allen,5.59060637997021
Ashlee Evans-Smith,4.287957549209776
Ashley Yoder,2.656371241434563
Asu Almabayev,3.294281804338185
Augusto Sakai,4.159048056851942
Austen Lane,2.395486764912275
Austin Hubbard,2.1732595707039595
Austin Lingo,1.6053044930708666
Azamat Murzakanov,5.001346029419418
Azat Maksum,2.440805910809307
Baergeng Jieleyisi,3.091182073778605
Bassil Hafez,2.924198899598224
Belal Muhammad,5.607842325187512
Beneil Dariush,6.383331107985092
Benoit Saint Denis,4.970876020694846
Bill Algeo,3.2561611970883027
Billy Quarantillo,3.8262294196180116
Billy Ray Goff,3.096851915045966
Blagoy Ivanov,4.205196354357125
Blood Diamond,0.9492038145329299
Bo Nickal,5.390965688852723
Bolaji Oki,2.843933190592769
Brad Katona,3.9676073185961815
Brad Riddell,3.4150797023360018
Brad Tavares,6.448148912438607
Brady Hiestand,3.062021853524242
Brandon Moreno,5.2441554716338725
Brandon Royval,4.256076717576444
Braxton Smith,2.447736602047984
Brendan Allen,5.1677287860580154
Brian Kelleher,3.8501502450013625
Brian Ortega,6.037987086001969
Brogan Walker,1.322946335000029
Bruna Brasil,2.0937263960010455
Brunno Ferreira,2.8770441702969243
Bruno Silva,2.7688618287048103
Bryan Barberena,5.009150605565874
Bryan Battle,3.2151767676401595
Bryce Mitchell,4.614175731366936
Caio Borralho,3.7087196626754904
Caio Machado,1.9380210151708337
Calvin Kattar,5.87238570859149
Cameron Saaiman,3.5137058722377947
Carla Esparza,4.922678753525279
Carli Judice,1.156350200071669
Carlos Candelario,2.475529306625604
Carlos Hernandez,2.3157160115861957
Carlos Ulberg,3.1741625596232095
Carlston Harris,2.4504007732101294
Casey O'Neill,3.7927741606567342
Cesar Almeida,2.9613347520072253
Chad Anheliger,2.4808311400853458
Charalampos Grigoriou,2.505322031507422
Charles Johnson,2.9993350752111994
Charles Jourdain,3.108429764562975
Charles Oliveira,7.427148843404936
Charles Radtke,3.415427871421443
Chase Hooper,3.4357372565026894
Chase Sherman,3.4989471961350183
Cheyanne Vlismas,2.7700635544524985
Chidi Njokuani,3.158983152186845
Chris Curtis,4.487426906226817
Chris Duncan,2.931770778031914
Chris Gutierrez,3.124709548929159
Chris Weidman,8.143888043492378
Christian Leroy Duncan,2.911208717921001
Christian Rodriguez,3.6002498275707477
Ciryl Gane,4.529542218284289
Cj Vergara,2.985491101617597
Claudio Puelles,3.6933614387531017
Claudio Ribeiro,2.9789371041629953
Claudio Silva,4.913024796269083
Clay Guida,6.712321768701895
Clayton Carpenter,2.6962821242621273
Cody Brundage,2.744516847040686
Cody Durden,3.6636880474537903
Cody Garbrandt,6.682093997992421
Cody Stamann,4.4637984316098285
Cory Mckenna,1.6605009494227545
Cory Sandhagen,6.291541079923785
Court Mcgee,6.609557248604124
Cristian Quinonez,3.967035327877526
Cub Swanson,6.658343059416706
Curtis Blaydes,6.964970839257934
Cynthia Calvillo,4.449824553438942
Da Woon Jung,3.954463741600142
Da'Mon Blackshear,3.0577775948367263
Damir Ismagulov,4.19017589750043
Damon Jackson,4.117471934949637
Dan Argueta,2.7259864814795693
Dan Hooker,5.51164070531656
Dan Ige,4.590331167114845
Daniel Barez,2.7558494322344895
Daniel Lacerda,1.96245400621347
Daniel Pineda,3.0086055886803216
Daniel Rodriguez,3.6404818538590185
Daniel Santos,3.083756798253745
Daniel Zellhuber,3.104325375661466
Danny Barlow,1.899382458374374
Danny Roberts,4.622488312741985
Darian Weeks,1.959022525697167
Darren Elkins,6.237511203544212
Darren Till,5.807471566831117
Darrick Minner,2.3955747283168374
Davey Grant,4.07763839875399
David Dvorak,2.2583357327029994
David Onama,2.7162438498958896
Deiveson Figueiredo,5.838449091426065
Denis Tiuliulin,1.9647886790845197
Denise Gomes,2.3350940487571274
Dennis Buzukja,2.3617708450114
Derek Brunson,6.899698694130988
Derrick Lewis,6.085910978169328
Devin Clark,3.946513512404176
Diana Belbita,1.3825312285493139
Diego Ferreira,5.468340365486756
Diego Lopes,4.029469620778257
Dione Barbosa,2.5627422047829094
Dominick Reyes,5.264466541991241
Don'Tale Mayes,2.518643750922468
Dooho Choi,3.919580176091537
Douglas Silva De Andrade,4.255172183795635
Drakkar Klose,3.9735827639361223
Drew Dober,5.382667018013318
Dricus Du Plessis,7.5648847268452
Dustin Jacoby,3.3321742975184896
Dustin Poirier,7.437736309145832
Dwight Grant,2.780749222404319
Dylan Budka,2.325636286590903
Eddie Wineland,5.441691607987424
Edgar Chairez,2.1160656978137187
Edmen Shahbazyan,4.835359938586203
Edson Barboza,6.8987187382003565
Eduarda Moura,3.4331263992371177
Elise Reed,1.5061387709745
Elizeu Zaleski Dos Santos,5.866479271979425
Elves Brener,4.3862199444624785
Emily Ducote,3.0530440135233388
Erick Gonzalez,2.6911544376180085
Erik Silva,2.8348054652046084
Erin Blanchfield,4.463898094225507
Eryk Anders,3.8746913566466974
Esteban Ribovics,3.2392212711775707
Evan Elder,1.8282534294230988
Fares Ziam,2.882206913240054
Farid Basharat,3.824824767215059
Felice Herrig,4.795710831410367
Felipe Dos Santos,2.3863366533409
Fernando Padilla,2.541061852014744
Fernie Garcia,2.0701784909365046
Francis Marshall,3.306876942343466
Francisco Trinaldo,6.04977820340617
Frank Camacho,3.291147847306226
Gabe Green,2.1494043041657775
Gabriel Benitez,4.055972468827591
Gabriel Bonfim,3.880611607539567
Gaston Bolanos,1.730666002357242
Geoff Neal,5.393158361454314
Gerald Meerschaert,5.326313510462793
Giga Chikadze,3.6766154888797806
Gilbert Burns,6.026314861458032
Gilbert Urbina,2.6520791915028066
Gillian Robertson,3.3931108007980395
Gina Mazany,2.7874772955650937
Glover Teixeira,7.504076276660341
Grant Dawson,5.260744184450244
Gregory Rodrigues,3.3696105245664416
Guido Cannetti,4.11244203305434
Gunnar Nelson,5.191593653976043
Guram Kutateladze,1.5334588855323066
Hailey Cowan,1.2464264943914818
Hakeem Dawodu,3.339614128283316
Holly Holm,5.44139503968138
Hyunsung Park,2.7953817547116633
Ian Garry,2.1440633083402614
Ian Machado Garry,3.6628461579577207
Iasmin Lucindo,0.9373111337163441
Ibo Aslan,3.1164353783547707
Ignacio Bahamondes,3.707878614215925
Igor Severino,3.930785924514045
Ikram Aliskerov,4.648132580652118
Ilia Topuria,6.678774733152132
Ilir Latifi,4.872163804789901
Ion Cutelaba,4.180154514070682
Irene Aldana,5.018249981811331
Irina Alekseeva,2.3613113585980887
Isaac Dulgarian,2.5075464897439423
Islam Makhachev,6.641119514795035
Ismael Bonfim,3.9568349249806047
Ismail Naurdiev,2.577387255504939
Israel Adesanya,6.946557649943684
Ivana Petrovic,2.2211374697994306
Jack Della Maddalena,3.8246690490105784
Jack Hermansson,5.366715169139202
Jack Jenkins,3.258973736979784
Jack Shore,4.092818379318354
Jacob Malkoun,3.067829981507458
Jacqueline Cavalcanti,2.1807275087634093
Jafel Filho,3.486829994891693
Jai Herbert,2.2594966129179106
Jailton Almeida,6.1899825196355165
Jairzinho Rozenstruik,4.985113836364088
Jake Collier,3.1538620458947606
Jake Hadley,2.5964037472157773
Jake Matthews,5.407011871825095
Jalin Turner,4.644368487780985
Jamall Emmers,1.8620993764640466
James Llontop,2.013101837788209
Jamey-Lyn Horth,2.375645889155363
Jamie Mullarkey,3.108912722753024
Jan Blachowicz,6.62175257463077
Jaqueline Amorim,3.0811557835310004
Jared Cannonier,5.327657540816742
Jared Gordon,4.588216996572789
Jared Vanderaa,2.067554809127869
Jarno Errens,1.6321856432566053
Jasmine Jasudavicius,2.4456569426390153
Jason Witt,3.4341692746850563
Javid Basharat,3.5876741227305944
Jeff Molina,2.665729439859402
Jeka Saragih,3.338957127604584
Jennifer Maia,3.3627374269584682
Jeongyeong Lee,3.816997308736682
Jeremiah Wells,3.8455652125957647
Jessica Andrade,7.0401682994766555
Jessica Eye,4.926837554016218
Jessica Penne,3.655163619788505
Jessica-Rose Clark,3.151430264815946
Jesus Aguilar,2.922060550675009
Jhonata Diniz,4.329219571017713
Ji Yeon Kim,3.8555180468030437
Jim Miller,7.099476708588538
Jimmy Crute,4.943165648742402
Jimmy Flick,3.434658967705819
Jiri Prochazka,4.27826682034693
Jj Aldrich,3.0217925188495114
Joanderson Brito,3.5892925797887423
Joanne Wood,3.834788134073274
Joaquim Silva,3.1674716577971873
Joaquin Buckley,3.248029246169153
Joe Pyfer,3.1902553275753593
Joe Solecki,3.9615411207043723
Joel Alvarez,3.4323555721447145
John Castaneda,3.389353219675086
John Makdessi,6.16292924322282
Johnny Munoz,2.7536529355624384
Johnny Walker,4.381424416808575
Jon Jones,9.527688133859323
Jonathan Martinez,3.6156928031513496
Jonathan Pearce,4.836217116763458
Jordan Leavitt,3.330992692540283
Jordan Wright,2.6222709271258737
Jose Aldo,9.350019469451762
Josefine Knutsson,2.277022880405347
Joselyne Edwards,2.4628668199005816
Joseph Holmes,2.438568711642947
Josh Culibao,3.0339029770642925
Josh Emmett,6.112222195702421
Josh Fremd,2.8730687017810346
Josh Parisian,2.8624589387448633
Josh Quinlan,2.1416085451314273
