FIGHTER,ELO,FPI,Elo_normalized,FPI_normalized,ILO
jon jones,1233.745055,7.065782806,1,1,1
charles oliveira,1168.005424,5.817112181,0.794638208,0.813711806,0.804175007
darren elkins,1086.314785,4.410640425,0.539447605,0.603881385,0.571664495
matt brown,1024.550171,4.331049718,0.346503232,0.592007309,0.469255271
clay guida,977.4738624,4.65138988,0.199443157,0.639798608,0.419620882
nate diaz,1036.401354,5.288071677,0.383524738,0.734784667,0.559154703
jim miller,1068.900315,4.899269317,0.485047135,0.676779547,0.580913341
demian maia,1078.185139,5.271798927,0.51405168,0.732356948,0.623204314
michael johnson,998.7020805,3.409697335,0.265757264,0.454551468,0.360154366
brad tavares,1041.14088,3.569812618,0.398330382,0.478438942,0.438384662
court mcgee,981.0277946,3.994614205,0.210545164,0.541814758,0.376179961
rafael dos anjos,1062.41126,4.796140305,0.464776199,0.66139381,0.563085005
mauricio rua,994.5246603,5.321881961,0.252707563,0.739828797,0.49626818
jeremy stephens,976.3393385,3.305632308,0.195899056,0.439026088,0.317462572
alexander gustafsson,1024.95635,4.326769698,0.347772083,0.591368776,0.46957043
frankie edgar,1027.848214,5.396602692,0.356805876,0.750976324,0.5538911
carlos condit,996.2384063,4.029426611,0.258061076,0.547008394,0.402534735
john makdessi,1021.830952,3.194033678,0.338008758,0.422376775,0.380192767
edson barboza,1063.594468,4.375216547,0.468472381,0.598596524,0.533534453
ben rothwell,1019.148482,4.274529891,0.329629081,0.58357516,0.456602121
dustin poirier,1150.561087,5.758511798,0.740144439,0.804969261,0.77255685
dominick cruz,1060.055126,5.486193015,0.457415953,0.764342234,0.610879094
rani yahya,1065.453532,4.50074799,0.474279847,0.617324462,0.545802154
chris weidman,1041.676587,4.929122522,0.400003861,0.681233323,0.540618592
tj dillashaw,1108.814348,5.493413369,0.609733225,0.765419433,0.687576329
tony ferguson,1042.334386,5.12431815,0.402058735,0.710354406,0.556206571
eddie wineland,960.9755755,3.737196854,0.147904721,0.503410865,0.325657793
raphael assuncao,1061.644737,3.63849342,0.462381685,0.488685377,0.475533531
alex caceres,1046.342091,4.031782823,0.414578268,0.547359915,0.480969092
chan sung jung,1048.953354,3.983470126,0.422735505,0.540152182,0.481443844
ed herman,1016.52189,4.085603372,0.321423958,0.555389361,0.438406659
jose aldo,1077.629022,6.045072468,0.512314446,0.847721023,0.680017735
donald cerrone,1051.971572,5.650297042,0.432164013,0.788824786,0.610494399
stipe miocic,1127.578743,5.728313043,0.668350678,0.800463932,0.734407305
johnny eduardo,971.7269963,2.764251177,0.181490718,0.35825786,0.269874289
dustin jacoby,1013.411468,2.961937895,0.311707417,0.387750587,0.349729002
nick diaz,975.3077071,5.961109643,0.192676378,0.835194675,0.513935526
cub swanson,1056.963801,4.172670434,0.447759068,0.568378828,0.508068948
michael chiesa,1087.057984,3.995123047,0.54176926,0.541890672,0.541829966
al iaquinta,1045.11531,3.788590332,0.410745971,0.511078218,0.460912094
max holloway,1183.836658,6.17866966,0.844092862,0.867652284,0.855872573
daniel pineda,965.7732405,3.611004162,0.162891983,0.484584276,0.323738129
tim means,993.7880033,4.055880993,0.250406346,0.550955102,0.400680724
stephen thompson,1053.291109,3.981412673,0.436286069,0.539845232,0.48806565
tim elliott,1002.763383,3.536771597,0.278444229,0.473509578,0.375976903
glover teixeira,1113.444635,5.799070996,0.624197618,0.811020256,0.717608937
francisco trinaldo,1112.481678,4.020455027,0.621189472,0.54566993,0.583429701
gunnar nelson,1075.638854,3.461330701,0.506097427,0.462254609,0.484176018
robert whittaker,1143.74351,5.140948354,0.718847242,0.712835453,0.715841348
vinc pichel,1041.905723,3.498598057,0.400719652,0.467814497,0.434267074
derek brunson,1086.044704,5.329283417,0.538603909,0.740933014,0.639768462
bobby green,1026.834771,4.435650842,0.353640018,0.607612669,0.480626344
robbie lawler,1063.256897,4.50808525,0.467417854,0.618419102,0.542918478
neil magny,1089.992318,5.03971138,0.550935724,0.697731988,0.624333856
thiago santos,1048.585888,4.340006698,0.42158759,0.593343594,0.507465592
amanda nunes,1179.101872,6.218470046,0.829302023,0.873590072,0.851446048
jacare souza,1004.591249,5.41908443,0.284154238,0.754330357,0.519242298
miesha tate,1018.634651,3.984647773,0.328023942,0.540327874,0.434175908
kelvin gastelum,1059.223536,4.034667079,0.454818176,0.547790215,0.501304195
uriah hall,1047.821175,4.031458477,0.419198729,0.547311526,0.483255128
