FIGHTER,FPI
0,0.0
aalon cruz,0.23086168906975307
aaron phillips,0.21592000479006468
aaron riley,0.2773780078902135
aaron rosa,0.2756116199164905
aaron simpson,0.3439715639046762
aaron wilkinson,0.2143842853164464
abdul razak alhassan,0.27959297493800317
abdul-kareem al-selwady,0.24922644758043594
abdul-kerim edilov,0.22678372977979586
abel trujillo,0.3065018110990635
abner lloveras,0.2307243413919346
abu azaitar,0.24702567804785935
abubakar nurmagomedov,0.2404757481755055
abus magomedov,0.3008031738408947
adam cella,0.23005705220205444
adam fugitt,0.29100215773565297
adam milstead,0.25486027974891357
adam wieczorek,0.2814832777220758
adam yandiev,0.29136615772764185
adlan amagov,0.31414459002429446
adrian yanez,0.2798781983482905
adriano martins,0.2908908227489542
aiemann zahabi,0.25701734159860445
ailin perez,0.27932494552908005
aisling daly,0.2301603916528006
aj cunningham,0.23495854797877083
aj dobson,0.27643379349154384
aj fletcher,0.25863048297968716
akbarh arreola,0.25687450995908523
akira corassani,0.2881678088589068
al iaquinta,0.3226099088818154
alan baudot,0.24191244633249565
alan belcher,0.31237674378532143
alan jouban,0.30120036554267005
alan omer,0.2365847197140158
alan patrick,0.3054093342037023
alatengheili,0.2590008111364239
albert cheng,0.22589690168566434
albert duraev,0.3016250531087293
albert morales,0.2792324985244476
albert tumenov,0.287178052008616
alberto mina,0.32602694887496436
alberto uda,0.23815609509351976
alejandro perez,0.28993835215290037
alekander volkov,0.3095724724027026
aleksa camur,0.2258437194096086
aleksandar rakic,0.3094489430351367
aleksei kunchenko,0.28299910660080263
aleksei oleinik,0.34892628742659526
alen amedovski,0.2205076830914674
alessandro costa,0.23186772041151105
alessandro ricci,0.2503880304686508
alessio di chirico,0.27011570614954367
alessio sakara,0.2885799448413069
alex caceres,0.2855892426616034
alex chambers,0.2422300024921556
alex da silva,0.24510483942595188
alex garcia,0.3199870758023765
alex gorgees,0.22204344954630764
alex morono,0.28158169880441125
alex munoz,0.26452502743626644
alex nicholson,0.2580538192257012
alex oliveira,0.3249308577852788
alex pereira,0.3365097554994876
alex perez,0.3250516939333114
alex reyes,0.24808184817770404
alex soto,0.2261543842612569
alex torres,0.21743059658343628
alex white,0.2641117164726896
alexa grasso,0.27571848534465787
alexander gustafsson,0.35802209703419796
alexander hernandez,0.2813754018680642
alexander munoz,0.25533777151138737
alexander volkanovski,0.3745926985650181
alexander volkov,0.3277002734649422
alexander yakovlev,0.28677969275500526
alexandr romanov,0.34638216791236576
alexandra albu,0.28292502150470034
alexandre ferreira,0.2663988499435995
alexandre pantoja,0.31725441233473156
alexis davis,0.2879490161971965
alexis dufresne,0.2079185677310364
ali alqaisi,0.22488031072188053
ali bagautinov,0.32760346683097263
ali qaisi,0.17238708560308696
aliaskhab khizriev,0.33102359183450913
alice ardelean,0.18634648999168046
alistair overeem,0.33742588138695995
aljamain sterling,0.3583312269815804
allan nascimento,0.2667734035581609
allan zuniga,0.2146502444054938
allen crowder,0.25487098451197976
alonzo menifield,0.29873372897161016
alptekin ozkilic,0.28746783686863775
alvaro herrera,0.2293842287380541
amanda cooper,0.2382072572790414
amanda lemos,0.29390648384211415
amanda nunes,0.3486598400810925
amanda ribas,0.2941618535421717
amilcar alves,0.23567293091449804
amir albazi,0.281647427179221
amir sadollah,0.31892103428845286
an ying wang,0.20544198152772977
anderson dos santos,0.25671586702042115
anderson silva,0.4777066419683752
andre ewell,0.2497714325910293
andre fialho,0.253983311303014
andre fili,0.30304624495812044
andre lima,0.22585581148700395
andre muniz,0.3555322535183665
andre petroski,0.33520160958487993
andre soukhamthath,0.25929537679700965
andre winner,0.2772174120434763
andrea lee,0.2796676693543293
andreas michailidis,0.20502172080480421
andreas stahl,0.24104720166887705
andrei arlovski,0.38277819391670087
andrew craig,0.26958680887785663
andrew holbrook,0.25646089060094995
andrew sanchez,0.3078590301056594
andy enz,0.2843492290281236
andy ogle,0.2524317515966862
ange loosa,0.24637649721441202
angel pacheco,0.19000794627486647
angela hill,0.270953271987842
angela magana,0.2198561241922474
anistavio medeiros,0.21269618890420733
anna elmose,0.21589497666104576
anshul jubli,0.2538033388797589
anthony birchak,0.22958571659107818
anthony christodoulou,0.22551240939549522
anthony hamilton,0.2794963447995007
anthony hernandez,0.3390680483992721
anthony ivy,0.20642051991222107
anthony johnson,0.3483161038321666
anthony lapsley,0.2213798395075402
anthony njokuani,0.316567647810206
anthony perosh,0.31265275418873517
anthony pettis,0.3438090527021378
anthony rocco martin,0.29705247713937766
anthony smith,0.3223843373357363
anton kuivanen,0.24215506318501212
anton turkalj,0.3093769674107956
anton zafir,0.2431484010047512
antonina shevchenko,0.26764442490277063
antonio arroyo,0.24815712131003914
antonio banuelos,0.21460765644355875
antonio braga neto,0.28974653713535814
antonio carlos junior,0.3220126434747689
antonio carvalho,0.25872405827574596
antonio dos santos,0.2219769396125472
antonio mckee,0.27368729112034945
antonio silva,0.2984864024137991
antonio trocoli,0.2668144453327155
aori qileng,0.24986666828925938
aoriqileng,0.23015711155025953
ariane carnelossi,0.2169503161114296
ariane da silva,0.26229128606987306
ariane lipski,0.22583220916684865
ariel beck,0.21389316374607928
arjan bhullar,0.266965205867437
arman tsarukyan,0.30523873124511103
armen petrosyan,0.27359212657158904
arnold allen,0.3122687581911384
artem lobov,0.27841420251989774
ashkan mokhtarian,0.24605387036463938
ashlee evans-smith,0.26162197868264414
ashley yoder,0.25180007985827196
askar askarov,0.29030384139965315
askar mozharov,0.23185756414898176
aspen ladd,0.2783674710639632
asu almabayev,0.32488398954179065
augusto mendes,0.27767479309538307
augusto montano,0.2553268585896306
augusto sakai,0.3006426535049217
austen lane,0.29107472158402736
austin arnett,0.23246137100610498
austin hubbard,0.23963958502413787
austin lingo,0.21483281824387157
austin springer,0.29232175028515534
azamat gashimov,0.21587253543973242
azamat murzakanov,0.3119051744661294
azat maksum,0.2525330959538511
baergeng jieleyisi,0.27678704372836105
barb honchak,0.26948992122331106
bart palaszewski,0.2733658208626649
bartosz fabinski,0.326646105298504
bassil hafez,0.2982476946969467
batgerel danaa,0.271639783576248
bea malecki,0.25467058607607707
bec rawlings,0.27735385194754136
bekzat almakhan,0.23358643523997252
belal muhammad,0.3353263695100696
ben askren,0.3227454954514453
ben nguyen,0.27006129099191545
ben rothwell,0.32680143050270893
ben saunders,0.3111002765668126
ben sosoli,0.21935970987945594
ben wall,0.21294860875213406
benardo sopaj,0.2349923624066067
beneil dariush,0.3236660318754816
benito lopez,0.24554063330774423
benny alloway,0.24030701366164342
benoit saint denis,0.3489626962420995
benson henderson,0.3755523160491031
bentley syler,0.22204356622565544
bernardo magalhaes,0.21632298179087597
besam yousef,0.2119651183368332
bethe correia,0.2906709048164317
bevon lewis,0.2615171820601305
bharat kandare,0.223017553792569
bill algeo,0.2626863065010961
billy quarantillo,0.31186700152753755
billy ray goff,0.3065309004168846
bj penn,0.4087145923981408
blagoy ivanov,0.2872722980510636
blake bilder,0.26728142900973867
blood diamond,0.21197549914176345
bo nickal,0.4047599573855626
bobby green,0.32869153359481373
bobby moffett,0.2949626121525226
bobby nash,0.27314616348802156
bobby voelker,0.3100713862411697
bogdan guskov,0.237582448863089
bojan mihajlovic,0.24588525790056037
bojan velickovic,0.2638937543479471
bolaji oki,0.2781718079418727
boston salmon,0.199248606162168
brad blackburn,0.31195756834607824
brad katona,0.23603346303182893
brad pickett,0.31265246629690535
brad riddell,0.2658396127632677
brad tavares,0.3188273679939579
bradley scott,0.2701862484509568
brady hiestand,0.2635972326115189
brandon davis,0.24781939002616873
brandon jenkins,0.22045477667025679
brandon moreno,0.31742375203618867
brandon royval,0.2909208648877739
brandon thatch,0.27820892633461586
brandon vera,0.32046730494993814
braxton smith,0.22774734179288997
brendan allen,0.333054370464638
brendan loughnane,0.21469498422393493
brendan o'reilly,0.2701054276158101
brendan schaub,0.32102372542322005
brendon marotte,0.21135305897603426
brendson ribeiro,0.27957052813350847
brett johns,0.3229320914277284
brian bowles,0.28077858699201064
brian camozzi,0.252051034245566
brian ebersole,0.32088784763515893
brian foster,0.2597866179891746
brian houston,0.2417618028726588
brian kelleher,0.28501396668672185
brian melancon,0.29149714570867474
brian ortega,0.33538443825042263
brian stann,0.2896603756247268
brianna van buren,0.23679567873512136
bristol marunde,0.24521975740550928
brock jardine,0.249590368939024
brock lesnar,0.34530898476894273
brogan walker,0.1786591330567011
brok weaver,0.23119912288752845
bruna brasil,0.2576365305901209
brunno ferreira,0.28392493262775176
bruno korea,0.20807284784141236
bruno santos,0.24885473399441022
bruno silva,0.27075740895684325
bruno souza,0.23573723233208313
bryan barberena,0.3005859838061371
bryan battle,0.2935913417926683
bryan caraway,0.32651019173580237
bryce mitchell,0.3133221585520014
bubba bush,0.18431087557779866
bubba mcdaniel,0.30739139715220876
buddy roberts,0.26329709759981257
byron bloodworth,0.23708643166803592
cain carrizosa,0.20479666804914848
cain velasquez,0.4142447860012208
caio borralho,0.30464848822993174
caio machado,0.2343855620113988
caio magalhaes,0.30097220077164083
callan potter,0.24968574571782723
caludia gadelha,0.2861704583441953
caludio puelles,0.2553744475130441
calvin kattar,0.3072423694476164
cameron else,0.20694294894499424
cameron saaiman,0.25939459715157365
cameron smotherman,0.21998512737178827
